last,first,state,congress,icpsr,majority,afam,latino,votepct,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,votepct_sq,les,south_dem,minwomen,meddist,majwomen,house_service,house_les,amles,power,up_for_reelection,freshman,retiree,altamles,sensq,thomas_name,st_name,cd,house,senate,fullamles
,,,93,14024,0,0,0,51,0,0,1,0,0,0,0,2601,0.073391408,0,0,0.36399999,0,,,,0,,1,,,1,"Hudnut, William",IN,11,1,0,
,,,93,11055,0,0,0,65,0,0,4,0,0,0,0,4225,0.10440186,0,0,0.38,0,,,,0,,0,,,16,"Wiggins, Charles",CA,25,1,0,
,,,93,8672,1,0,0,60,0,1,8,0,0,0,0,3600,0.10130081,0,0,0.23900001,0,,,,1,,0,,,64,"Smith, Neal",IA,4,1,0,
,,,93,11032,0,0,0,52,0,0,4,0,0,0,0,2704,0.35892025,0,0,0.354,0,,,,0,,0,,,16,"Mayne, Wiley",IA,6,1,0,
,,,93,3929,1,0,0,58,1,0,11,1,0.22400001,0,0,3364,1.6972573,1,0,0.14,0,,,,0,,0,,,121,"Haley, James",FL,8,1,0,
,,,93,11059,0,0,0,63,0,0,4,0,0,0,0,3969,0.020673634,0,0,0.34799999,0,,,,0,,0,,,16,"Zion, Roger",IN,8,1,0,
,,,93,11007,0,0,0,63,0,0,4,0,0,0,0,3969,0.32044134,0,0,0.271,0,,,,0,,0,,,16,"Burke, J.",FL,12,1,0,
,,,93,14050,0,0,0,51,0,0,1,1,0.2,0,0,2601,0.16228804,0,0,0.127,0,,,,0,,1,,,1,"Sarasin, Ronald",CT,5,1,0,
,,,93,,0,1,0,,0,1,2,0,,0,0,,1.2715355,0,0,,0,,,,0,,0,,,4,"Fauntroy, Walter",DC,1,1,0,
,,,93,8084,1,0,0,51,0,0,2,1,0.14300001,0,0,2601,0.13541231,0,0,0.14799999,0,,,,1,,0,,,4,"Roush, J.",IN,4,1,0,
,,,93,4043,1,0,0,66,0,1,7,1,0.212,0,0,4356,2.4736071,0,0,0.31400001,1,,,,1,,0,,,49,"Hansen, Julia",WA,3,1,0,
Bayh,Birch,IN,93,10800,1,0,0,52,0,1,6,1,0.14300001,0,0,2704,1.1203582,0,0,0.27700001,0,0,0,,1,1,0,0,,36,,,,0,1,
,,,93,4514,1,0,0,67,1,1,16,0,0,0,0,4489,5.9156437,0,0,0.36200002,0,,,,0,,0,,,256,"Holifield, Chet",CA,19,1,0,
,,,93,10566,1,0,0,63,0,1,7,0,0,0,0,3969,4.2764902,0,0,0.32500002,0,,,,0,,0,,,49,"Udall, Morris",AZ,2,1,0,
,,,93,10732,1,0,0,63,0,1,5,0,0,0,0,3969,0.052717771,0,0,0.12899999,0,,,,0,,0,,,25,"Hamilton, Lee",IN,9,1,0,
,,,93,2525,0,0,0,71,0,0,8,1,0.34400001,0,0,5041,0.089930311,0,0,0.32799998,0,,,,0,,0,,,64,"Derwinski, Edward",IL,4,1,0,
,,,93,13049,0,0,0,,0,0,2,0,0,0,0,,0.051684089,0,0,0.292,0,,,,0,,0,,,4,"Mills, William",MD,1,1,0,
,,,93,11022,0,0,0,53,0,0,4,1,0.175,0,0,2809,0.16332172,0,0,0.33199999,0,,,,0,,0,,,16,"Hunt, John",NJ,1,1,0,
,,,93,14056,0,0,0,56,0,0,1,0,0,0,0,3136,0.4876391,0,0,0.77200001,0,,,,0,,1,,,1,"Symms, Steven",ID,1,1,0,
,,,93,6756,1,0,0,70,0,1,11,1,0.52600002,0,0,4900,3.2303312,0,0,0.55000001,0,,,,0,,0,,,121,"Moss, John",CA,3,1,0,
,,,93,8247,0,0,0,68,0,0,13,0,0,0,0,4624,2.0388353,0,0,0.213,0,,,,0,,0,,,169,"Saylor, John",PA,12,1,0,
,,,93,10710,0,0,0,74,0,0,5,0,0,0,0,5476,0.30554375,0,0,0.134,0,,,,0,,0,,,25,"Carter, Tim",KY,5,1,0,
,,,93,12015,0,0,0,100,0,0,3,0,0,0,0,10000,2.4757373,0,0,0.289,0,,,,0,,0,,,9,"Frey, Lou",FL,9,1,0,
,,,93,14038,0,0,0,51,0,0,1,1,0.40700001,0,0,2601,0.07752613,0,0,0.12900001,0,,,,0,,1,,,1,"Mitchell, Donald",NY,31,1,0,
,,,93,12033,0,0,0,73,0,0,3,0,0,0,0,5329,0.29563299,0,0,0.257,0,,,,0,,0,,,9,"Whitehurst, G.",VA,2,1,0,
,,,93,789,1,0,0,76,1,0,14,1,0.211,0,0,5776,5.0337181,0,0,0.35500002,0,,,,0,,0,,,196,"Blatnik, John",MN,8,1,0,
,,,93,14068,1,1,0,,0,0,1,0,0,0,0,,0.056852497,0,0,0.45000002,1,,,,0,,1,,,1,"Collins, Cardiss",IL,7,1,0,
,,,93,14035,0,0,0,59,0,0,1,0,0,0,0,3481,0.037212543,0,0,0.382,0,,,,0,,1,,,1,"Martin, James",NC,9,1,0,
